title,description,url,prep_time,cook_time,total_time,servings,ingredients,instructions,image_url,recipe_category,recipe_cuisine,keywords,calories
Apple-Cheddar Panini,Make and share this Apple-Cheddar Panini recipe from Food.com.,https://www.food.com/recipe/apple-cheddar-panini-221685,10m,10m,20m,4 serving(s),"8   slices    whole grain bread | 1/4  cup    honey mustard | 2      crisp apples, thinly sliced  (I like Braeburn or Fuji or Gala) | 8   ounces    mild cheddar cheese, thinly sliced | cooking spray","Preheat panini press on medium heat(or use 2 heavy skillets-one to put on top of the panini while cooking to press it). | Lightly spread honey mustard evenly over each slice of bread. | Layer apple slices and cheese over 4 slices of bread, using about &frac12; apple and 2 ounces of cheese for each sandwich. Top each with remaining bread slices. Lightly coat panini press with cooking spray(or coat skillet. | Grill each sandwich for 3 to 5 minutes or until cheese has melted and bread has toasted. | Remove from pan and allow to cool slightly before serving. Enjoy!","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/22/16/85/pic0lJuoN.jpg",Lunch/Snacks,All,"Cheese,Apple,Fruit,European,High In...,Brunch,< 30 Mins,Easy",445.6
Cream Cheese and Jelly Sandwich,"You know how things are always popping into your head when you are laying in bed?  Well, that's what happen to me.  My Dad use to make these sandwiches for my brother and me. How can something so simple be so good?  You decide....",https://www.food.com/recipe/cream-cheese-and-jelly-sandwich-118116,12m,,12m,3 sandwiches,6   slices    white bread | 6   ounces    cream cheese | 6   ounces    grape jelly,Spread cream cheese on three slices of bread. | Spread jelly on top of cheese. | Top each with another slice of bread. Cut each sandwich in fours. | Enjoy with a tall glass of milk and don't forget to lick your fingers!,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/11/81/16/01471107725.jpeg",Lunch/Snacks,All,"Vegetable,< 15 Mins,No Cook,Easy,Inexpensive",481.7
Dorito Sandwich (for kids),"Sounds gross, and probably is. A friend of mine (yes, an adult)has been eating this since she was little and apparently still eats it. I was so intrigued by the odd-ballness of this sandwich that I thought I should post it.",https://www.food.com/recipe/dorito-sandwich-for-kids-45982,1m,,1m,1 sandwich,1       hard roll | 1   tablespoon    butter | 1   bunch    plain Doritos,Spread butter on hard roll. | Pile on Doritos. | Cut in half and eat it.,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/45/98/2/picqxCidP.jpg",Lunch/Snacks,All,"Kid Friendly,< 15 Mins,No Cook,Easy",782.8
Lunchbox Hummus Vegetable Sandwich,"A grown up way of doing a healthy sandwich !
The Tapenade (olive spread) is optional .
                Enjoy ---",https://www.food.com/recipe/lunchbox-hummus-vegetable-sandwich-267593,15m,,15m,"1 sandwich, 1 serving(s)","2   slices    whole wheat bread | 1/2  cup   store bought hummus | 2   tablespoons   store bought tapenade (olive spread) | 1/4      cucumber, thinly sliced | 1      coarsely grated carrot",Spread 1 slice whole wheat bread with half the mixture of hummus and tapenade (optional). | Do the same on the second piece of bread. | Top hummus and tapenade with the 1/4 cucumber thinly sliced and the 1 carrot coarsely grated. | This recipe makes 1 sandwich.,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/26/75/93/pic9Gx0ei.jpg",Lunch/Snacks,All,"Vegetable,< 15 Mins,Easy",378.8
Egg &amp; Tomato Sandwich,"So simple and so delicious.  I'm not sure why it never occurred to me to put this combo together, but when I lived in England, the little sandwich stand always had this on hand.  I became completely addicted to it :)  Depending on the size of your eggs, you might want to use 2 - you want enough to layer it down the length of the baguette.",https://www.food.com/recipe/egg-tomato-sandwich-388397,15m,,15m,1 serving(s),"1   piece    baguette, about 6-inch in length | 1   tablespoon    mayonnaise | fresh cracked black pepper, to taste | 1   medium    tomatoes, sliced | 1 -2       egg, hard-boiled and sliced",Slice the baguette open length-wise. | Spread with mayo and sprinkle with the black pepper. | Layer the sliced tomato and eggs on top. | Replace top of baguette and enjoy!,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/38/83/97/tCQ95CTRSOP8CBnkrw5R_0S9A1858.jpg",Lunch/Snacks,All,"< 15 Mins,Easy",186.1
"Tomato, Basil, & American Cheese Sandwich","Make and share this Tomato, Basil, & American Cheese Sandwich recipe from Food.com.",https://www.food.com/recipe/tomato-basil-american-cheese-sandwich-101339,5m,,5m,1 serving(s),2   slices   fresh white bread | 2   slices   fresh ripe tomatoes | 3 -4       fresh basil leaves | 1 -2   tablespoon    mayonnaise | 2   slices    American cheese | salt and pepper,Spread Mayo on one side of both slices of bread place basil leaves on Mayo then tomato and cheese on one slice. | Season with salt and pepper. | Place slice of bread on top and slice in half side to side or corner to corner& enjoy. | Hopefully you get the best summer tomatoes that when eating this the juice drips and makes you feel like a kid!,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/13/39/picezQ8G9.jpg",Lunch/Snacks,All,"Cheese,Greens,Vegetable,European,Summer,Savory,Brunch,< 15 Mins,No Cook,Easy",338.7
Peanut Butter Fruit Sandwich,Make and share this Peanut Butter Fruit Sandwich recipe from Food.com.,https://www.food.com/recipe/peanut-butter-fruit-sandwich-189961,3m,3m,6m,2-4 serving(s),"2   slices    bread | 8   teaspoons    peanut butter | fruit (bests ones are apples, bananas, strawberries, and pears)","Get the two slices of bread and toast them  (don't burn the bread!)(optional). | Once the bread is crispy and warm, spread 4 teaspoonfuls of peanut butter on one slice and the other 4 teaspoons of peanut butter on the other slice. | Now cut the your fruits to thin slices and add them in your sandwich in any order. | Finally enjoy your sandwich with a nice cold cup of milk.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/18/99/61/picUSVwC1.jpg",Breakfast,All,"Lunch/Snacks,Apple,Pears,Fruit,High Protein,High In...,< 15 Mins,Beginner Cook,Easy,Inexpensive",194.4
Easy Egg Salad,"This is a basic egg salad I've made for years. I like it just as it is, but you can customize it by adding in chopped onion, tomatoes, relish or whatever you like.",https://www.food.com/recipe/easy-egg-salad-297900,25m,,25m,4 serving(s),6   large    eggs | 1/4  cup    mayonnaise | 1   tablespoon    mustard | salt and pepper,"Place eggs in a pot and add enough water to cover eggs by at least one inch. | Quickly bring the water to a boil, then remove from heat and let the eggs sit in the hot water for 15 minutes. | Remove eggs from hot water and immediately place them in a bowl filled with ice until they're cooled completely. | Peel the cooled eggs and dice or mash them. | Mix together mayonnaise and mustard; combine with the eggs. | Add salt and pepper to taste. | Refrigerate for at least an hour to allow the flavors to combine.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/29/79/00/mQs1zNPgQDGuGsjJVS3H_egg%20%20salad.JPG",Lunch/Snacks,All,"< 30 Mins,Easy,Inexpensive",109.8
Ooey Gooey Peanut Butter and Honey Sandwiches (open Faced),"I had a friend in Middle School named Maral who was from Iran, and her mom always made really cool snacks for us whenever we got home from school. This was one of my favorites!",https://www.food.com/recipe/ooey-gooey-peanut-butter-and-honey-sandwiches-open-faced-110160,5m,,5m,2 serving(s),"1       bagel, split in half  (You can also use toast if you want) | smooth peanut butter | honey",Cut bagel in half and toast each side of the bagel until golden brown. | While the bagel is still warm slather on some peanut butter on each side; the peanut butter will soften quite a bit (warning: MESSY!). | Drizzle Honey on top of the peanut butter then do the same thing to the other side of the bagel and enjoy!,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/11/01/60/pic1Ad1XZ.jpg",Breakfast,All,"Lunch/Snacks,Low Cholesterol,Toddler Friendly,Healthy,Kid Friendly,Sweet,Brunch,< 15 Mins,Beginner Cook,Easy",144.4
Yummy Grilled Tuna and Cheese Sandwiches,Make and share this Yummy Grilled Tuna and Cheese Sandwiches recipe from Food.com.,https://www.food.com/recipe/yummy-grilled-tuna-and-cheese-sandwiches-15595,10m,5m,15m,1 serving(s),"4   slices    bread | 1 1/2  tablespoons    butter or 1 1/2  tablespoons    margarine, soft | 2   slices    cheese | 150   g    solid white tuna, drained and flaked",Spread both sides of the bread thinly with butter. | Place the cheese on the bread and then the tuna. | Grill for 2 minutes on each side or until the bread is golden brown. | Serve or refrigerate and eat later (they are still nice cold).,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/15/59/5/picNzbzvv.jpg",Lunch/Snacks,All,"Tuna,Cheese,High Protein,High In...,< 15 Mins,Beginner Cook,Easy",1072.2
Hannah's Cucumber Tea Sandwiches,"My DD's friend Hannah made these for a tea party they had with their friends; Amanda loved them so she made them at her senior project, a volunteer appreciation tea. They're a classic!",https://www.food.com/recipe/hannahs-cucumber-tea-sandwiches-452653,30m,,30m,"16 tea sandwiches, 8 serving(s)","1 (8   ounce) package   cream cheese, softened | garlic salt, to taste | dill weed, to taste | 1       English cucumber | 16   slices    white bread","Peel and slice the cucumber into very thin rounds. They should be slightly transparent. | Mix softened cream cheese with garlic salt and dill weed. | Spread cream cheese mixture on one half of each sandwich. | Spread cucumber slices on halves. If the slices are thin enough, overlap the slices. | Close the sandwiches, de-edge them with a serrated blade, and cut into triangular halves.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/45/26/53/ZiyIYX3FT5a7krupQyyM_untitled-2742.jpg",Lunch/Snacks,All,"European,Labor Day,Brunch,< 30 Mins,Easy",235.8
Easy 5-Ingredient Chili,Make and share this Easy 5-Ingredient Chili recipe from Food.com.,https://www.food.com/recipe/easy-chili-17921,1m,15m,16m,4 serving(s),1   lb    ground beef | chili powder (to taste) | 1   can    tomato soup | 1   can    stewed tomatoes | 1   can    kidney bean,"brown the ground beef. | drain. | add chili powder to taste, I usually cover the ground beef. | add tomato soup. | add stewed tomatoes, undrained. | add kidney beans, undrained. | heat up in skillet. | serve.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/17/92/1/picMEJgVk.jpg",Beans,All,"Meat,Low Cholesterol,Healthy,Potluck,Winter,< 30 Mins,Beginner Cook,Stove Top,Easy,Inexpensive",411.3
Mushroom Quesadilla,"This recipe makes a tasty lunch or have it as part of a traditional Mexican meal. I like using Corn Tortillas but the whole wheat are tasty too.Serve with your favorite Salsa and a green salad The recipe is from the column &quot;The Chopping Block&quot; by Philomena Corradeno, tweaked by Bergy",https://www.food.com/recipe/mushroom-quesadilla-115585,15m,15m,30m,4 serving(s),"2   lbs    mushrooms, fresh, sliced | 1 1/2  tablespoons    garlic, minced | salt & pepper | 4   large    tortillas, Whole wheat  or 4   large    sun-dried tomatoes | 1 1/4  cups    cheddar cheese, grated","Wrap the tortillas in foil and warm them in a 350F oven while you are cooking the mushrooms. | Saute the mushrooms and garlic until most of the water from the mushrooms has evaporated. | Season with salt &amp; pepper. | Divide the mushrooms &amp; cheese between the four tortillas, fold in half. | Serve with salsa, quacamole &amp; sour cream (Optional).","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/11/55/85/picWKqW7M.jpg",Lunch/Snacks,All,"Vegetable,Mexican,< 30 Mins,Beginner Cook,Easy",552.7
BBQ Turkey Meatloaf - 5 Ingredients,"The secret to this tender, flavor-packed BBQ meatloaf is the boxed cornbread stuffing mix!  Beginning cooks will love the convenience, but so will any cook with a keen eye for a healthy, quick entree.  TIP:  We eat one meatloaf for dinner, and I freeze the second one for another meal.",https://www.food.com/recipe/bbq-turkey-meatloaf-5-ingredients-206240,10m,1h,1h 10m,8 serving(s),"16   ounces    ground turkey | 8   ounces    turkey sausage (casings removed) | 1   cup    seasoned stuffing mix (StoveTop type, dry, I like ""Cornbread"" type) | 1       egg, beaten with fork | 1 1/4  cups    barbecue sauce (like KC Masterpiece Original)","Crumble ground turkey into large mixing bowl.  If sausage is in links, remove casings and crumble sausage into bowl. | Add 1 cup dry stuffing mix (about half a box), egg and 1 cup of the barbecue sauce (save 1/4 cup to glaze tops of meatloaves). | Mix gently; divide in two.  Pat into two loaves in a greased/sprayed 9x13 pan (see photo provided). | Use remaining 1/4 cup BBQ sauce to spoon over tops of loaves.  Bake uncovered at 350 degrees for one hour. | Option:  this meatloaf could easily be made with lean ground beef and sausage, but it is SO delicious with the lower-fat ingredients that you should give it a try!","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/20/62/40/PsjEwd55T9SoBwNThGjO_0S9A4397.jpg",Poultry,All,"Meat,Kid Friendly,Beginner Cook,< 4 Hours,Easy",217.2
Quick and Delicious Goat Cheese Salad,"I love this salad for many reasons! I make it in 2 minutes, it tastes fantastic and reminiscent of what you get in 5 star restaurants, and served with a grilled fish, is sublime!",https://www.food.com/recipe/quick-and-delicious-goat-cheese-salad-269258,2m,,2m,2-3 serving(s),"4   cups    mixed greens, cleaned and dried  (arugula, radicchio, romaine, baby spinach, etc) | 3   tablespoons    dried cranberries | 1/4  cup    walnuts, halved | 1   tablespoon    raspberry vinaigrette dressing | 4   ounces    soft fresh goat cheese","In a salad bowl, place greens, cranberries, walnuts, and dressing, and mix gently. | With a spoon, break up the goat cheese into uneven chunks on top of the salad. | Serving Suggestions:. | Enjoy as part of a meal with grilled fish and a blush wine | Eat as a light dinner with a cup of warm tea. | Makes for a beautiful presentation when entertaining guests.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/26/92/58/DFSpOnUOT9KLqRKCYSkU_1.1saladredo2.jpg",Cheese,All,"Fruit,Kosher,Free Of...,Brunch,< 15 Mins,Beginner Cook,Easy",252.1
Classic BLT Sandwich,"This is a sandwich that I crave a lot.  I am just posting it because I couldn't find it posted already on the Zaar...I couldn't believe that!  My ex-DH wondered how I make these, so I decided to post it and send him the recipe.  Nothing fancy -- just the real, simple, unabridged version.  UPDATE:  After reading Peg629's review, I have tried it that way, with one slice of toast spread with yellow mustard, and I must say it really, really makes an exceptional BLT!  Such a subtle difference, yet genuinely makes a superior BLT, in my opinion!  (Thank you Peg629 for that awesome suggestion!)",https://www.food.com/recipe/classic-blt-sandwich-129615,10m,5m,15m,"4 sandwiches, 4 serving(s)","1/2  lb    bacon (approx. 12 slices) | 8   slices    white bread | 8   leaves    iceberg lettuce, fresh and full | 8   slices   of ripened tomatoes | 8   tablespoons    Hellmann's mayonnaise","Cook bacon until crispy, then drain on paper towels. | Toast the 8 slices of bread. | Spread 1 tablespoon mayo on each slice of toasted bread. (More or less, to taste). | Add 1 slice of lettuce to 4 pieces of mayo-spreaded toast. | Add 2 slices of tomato on top of lettuce. | Arrange 3 slices of bacon evenly on top of tomato. (Break bacon slices in half to fit, if needed.). | Add 1 slice of lettuce on top of bacon. | Put the remaining 4 pieces of mayo-spreaded toast on top to finish the sandwiches. | Enjoy! | NOTE:  I also like to butter the toast slices before adding the mayo -- higher in fat, but tastier, in my opinion!","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/12/96/15/RCNa1fLaTS2U0FY3yOUq_BLT%205%20-%20final_6.jpg",Lunch/Snacks,All,"Pork,Vegetable,Meat,< 15 Mins,Beginner Cook,Easy,Inexpensive",516.8
Recipes,,https://www.food.com/recipe/all/popular?ref=nav,,,,,,,,,,,
Fluffer Nutter Sandwich,Make and share this Fluffer Nutter Sandwich recipe from Food.com.,https://www.food.com/recipe/fluffer-nutter-sandwich-18910,5m,,5m,1 serving(s),2   slices    white bread | 2   tablespoons    marshmallow creme | 2   tablespoons    smooth peanut butter or 2   tablespoons    chunky peanut butter,"Spread marsh mallow creme on to first slice of bread. | Then spread peanut butter on second slice of bread. | Then put both slices together, filling to filling. | Eat! | Then remember your childhood days.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/18/91/0/pic1WX7ZQ.jpg",One Dish Meal,All,"Lunch/Snacks,Grains,Fruit,Nuts,Kid Friendly,< 15 Mins,No Cook,Beginner Cook,Easy,Inexpensive",410.8
Simple Tomato Sandwich,"I am only posting such a simple recipe because I actually somehow lived 29 years of life before my husband introduced me to the Tomato Sandwich. If you've only used tomatoes as an accessory in your sandwiches, and not as the Featured Ingredient, you are truly missing summer as it was meant to be tasted. Note: after many years, I have solidly converted to mayo for this sandwich, with fresh ground black pepper too.  (Oct 2012)",https://www.food.com/recipe/simple-tomato-sandwich-98724,5m,,5m,1 serving(s),"2   slices    bread (homemade strongly recommended, cracked wheat is my specific favorite) | 1   medium   organic tomatoes (room temperature or fresh from the stalk, do NOT attempt this with pale, store-bought types!) or 1   medium   garden tomatoes (room temperature or fresh from the stalk, do NOT attempt this with pale, store-bought types!) | 3   tablespoons    Miracle Whip or 3   tablespoons    mayonnaise | salt, to taste","Toast bread. | Slice tomato. | When bread is adequately toasted, liberally spread both sides with Miracle Whip (or butter one side with Miracle Whip on the other). | Lay tomato slices on one side of bread. | Salt tomato to taste. | Slap that baby together and savor summer at its best!","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/98/72/4/fqgNSlebQaiegGvOdIMo_DSC05725-2.jpg",Lunch/Snacks,All,"Vegetable,Low Protein,Low Cholesterol,Kosher,Summer,Camping,< 15 Mins,Easy",266.0
Peanut Butter and Bacon Sandwich,Make and share this Peanut Butter and Bacon Sandwich recipe from Food.com.,https://www.food.com/recipe/peanut-butter-and-bacon-sandwich-74475,5m,10m,15m,"1 sandwich, 1 serving(s)","1   tablespoon    peanut butter | 2   slices    whole wheat bread, toasted | 2   slices    crisp bacon",Spread peanut butter on one slice of toast. | Top peanut butter with sliced bacon and remaining piece of toast.,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/74/47/5/xOGLtMD6RKWGa105pO6z_Unknown-16.jpeg",Lunch/Snacks,All,"Pork,Meat,High Protein,Kid Friendly,High In...,< 15 Mins,Easy",319.0
Bacon and Egg Sandwich,This is our favorite sandwich. The bread can also be toasted. I sometimes make it without the egg for a lighter version.,https://www.food.com/recipe/bacon-and-egg-sandwich-56191,5m,15m,20m,1 serving(s),2   slices    white bread | 3   slices    crisp bacon | 1      fried egg | sliced tomatoes | Miracle Whip,"Spread 1 slice of bread with Miracle Whip. | Add the fried egg. | (While the egg is cooking, I flatten it with a metal spatula to break the yolk-it fits the bread better.) Spread the egg thinly with Miracle Whip. | Add crisp bacon in a single layer. | Next, a layer of tomato slices. | Cover with other slice of bread spread with Miracle Whip.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/56/19/1/WDzxa2JqShW56WpWX9a2_0S9A9647.jpg",Breakfast,All,"Lunch/Snacks,Pork,Vegetable,Meat,Canadian,High Protein,High In...,< 30 Mins,Beginner Cook,Stove Top,Easy,Inexpensive",334.3
Simple Tuna Pasta Salad,"Some of the best recipes are the most simple. This is one of those. I prefer it just as written, but you may add any ingredients you choose such as chopped onion, scallions, chives, water chestnuts, chopped hard-boiled eggs, lemon-pepper, dill, parsley, etc. I often take this to potlucks when I need a quick and easy (and economical) dish. I've never had to take home left-overs.  Tuna pasta salads can be found at many pot lucks.  Albacore tuna is plentiful on the Pacific Coast, and this recipe represents the Western U.S.",https://www.food.com/recipe/simple-tuna-pasta-salad-64320,20m,,20m,6-8 serving(s),"12   ounces    pasta shells or 12   ounces    macaroni, cooked and drained | 12   ounces   canned chunk albacore tuna, drained | 1   cup   chopped celery | 1   cup    frozen green pea, thawed | 1 1/2  cups    mayonnaise (this amount is an estimate, you'll need enough to make the salad creamy) or 1 1/2  cups    Miracle Whip (this amount is an estimate, you'll need enough to make the salad creamy) | salt and pepper","Combine the cooked and drained pasta with the drained tuna, chopped celery, peas, and mayonnaise, using only enough mayonnaise for the salad to be creamy. | (If it's made ahead, you may need more because the pasta will absorb the mayo.) Chill at least 1- 2 hours before serving.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/64/32/0/0YrmpptRRGSyc0EVsXHd_0S9A3956.jpg",One Dish Meal,All,"Tuna,Pasta Shells,Potluck,< 30 Mins,Refrigerator,Beginner Cook,Easy,Inexpensive",321.0
My Favorite Spinach Salad,"We enjoy having salad for supper. This recipe is a favorite and is quite filling. This is my version of the spinach salad they serve at The Angus Barn, a very popular restaurant in Raleigh, NC. I hope you enjoy it as much as we do!",https://www.food.com/recipe/my-favorite-spinach-salad-30837,5m,,5m,2-4 serving(s),"1 (6   ounce) package   baby spinach leaves | 5       hard-boiled eggs, chopped | 1/2  lb    bacon, fried and crumbled | 1   medium    red onion, thinly sliced | 1 (12 -16   ounce) jar  of your favorite refrigerated poppy seed dressing",Place freshly washed spinach on individual plates. | Sprinkle with chopped hard boiled eggs and crumbled bacon. | Spread sliced onion on top. | Drizzle with poppyseed dressing. | Serves 4 small or 2 meal size.,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/30/83/7/bkPHWXvTTxWROh5HTg2c_0S9A1388.jpg",Pork,All,"Beans,Meat,Kid Friendly,Ramadan,Sweet,< 15 Mins,No Cook,Easy,Inexpensive",754.7
Simple Crockpot Boston Butt,"I had a 4 1/2 lb. Boston Butt and didn't want to use it for the usual pulled or BBQ pork. So, this is what I came up with.This is a very plain pork recipe, so if you feel like adding other seasonings or BBQ sauce after cooking go right ahead.The size of the Boston Butt will determine how long the cooking time is.In the case of this recipe it was 8 hours on low.The amount of seasonings you will use is up to you.As I said this is a very plain recipe, and you can use the meat as starting point for all sorts of other dishes. Submitted to &quot; ZAAR &quot; on January 4th, 2010.",https://www.food.com/recipe/simple-crockpot-boston-butt-406664,10m,8h,8h 10m,16 serving(s),4 1/2  lbs    boston butt | 3/4  cup   chopped sweet onion | 2   teaspoons    seasoning salt (to taste) | 2   teaspoons    garlic powder (to taste) | 2   teaspoons    ground black pepper (to taste),"Sprinkle seasonings evenly over meat, and top with onions. | Place in crockpot, and cook on low for 8 hours.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/40/66/64/picAgvgeo.jpg",For Large Groups,All,Easy,283.1
Elena Ruz Sandwich (Cuban Turkey Sandwich),"This is a strange combination, but trust me, it is very good! The story goes that Elena Ruz, a society young socialite for which the sandwich is named, would stop at this little all-night restaurant, El Carmelo, in Vedado neighborhood in Havana Cuba, after leaving the dance with her group of friends. She asked the waiter if he could fix her this sandwich after she told them how to make it. After that she would always ask for the Elena Ruz Sandwich and to this day that is how the sandwich is known. This recipe has been printed on many of the Cuban Food web sites.  It is great for leftover turkey. Update 03/13/2006 you can also use sweet rolls(the kind you use for a media noche). However, the real McCoy is white bread without crusts and lightly toasted and then the cream cheese would be spread, then the turkey and strawberry jelly on the other slice and voila!",https://www.food.com/recipe/elena-ruz-sandwich-cuban-turkey-sandwich-141290,5m,,5m,"1 sandwich, 1 serving(s)","2   slices    white bread, toasted & crusts removed | 4   ounces   sliced fresh cooked turkey | 1   tablespoon    cream cheese | 1   tablespoon    jam or 1   tablespoon    strawberry jelly","Spread 1 slice of toasted white bread generously with cream cheese and the other slice with the strawberry preserves. | Place the turkey slices in the middle, close and ENJOY!","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/14/12/90/picS0Tj9E.jpg",Lunch/Snacks,All,"Poultry,Meat,Caribbean,High Protein,Healthy,Kid Friendly,High In...,< 15 Mins,Beginner Cook,Easy,Inexpensive",430.9
Ground Chicken Ranch Burger,I don't remember where I got this recipe but I make the patties ahead and freeze them. They can be cooked frozen on the grill. Serve on crusty rolls with your favorite condiments. Can also use ground turkey but not even close to as tasty as the chicken. No other seasoning is needed other than the ranch dressing mix.,https://www.food.com/recipe/ground-chicken-ranch-burger-356116,10m,8m,18m,"4 Patties, 4 serving(s)","1   lb    lean ground chicken | 1 (1   ounce) package   ranch dressing mix, dry  (Hidden Valley) | 1/2  cup    fresh breadcrumb | 1/2  cup    mushroom, chopped fine","Mix all ingredients together. Mixture will be wet. | Be sure to spray or oil grill and do not turn chicken patties until well browned. | Form into patties and grill or pan fry. | I usually cook about 3-4 minutes on each side, a little longer may be needed if frozen. Juice will run clear when done.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/35/61/16/picoZeWch.jpg",Lunch/Snacks,All,"Chicken Breast,Chicken,Poultry,Meat,< 30 Mins,Easy",184.6
Jiffy Corn Casserole (5 Ingredients) Easy &amp; Delicious!,"Okay, I have made this in the past for &quot;Mexican&quot; night &amp; poker nights... but then we had this again a few weeks ago at a friends party and just had to post the recipe for easy access &amp; safe keeping.  There are several recipes out there for this casserole, but they are all different.  This one has no eggs (which seems to be hard to find) and uses only 5 ingredients.  It's so easy to make but always a crowd pleaser - try it at a BBQ, alongside chili, or as a Holiday side-dish...  ** NOTE: The consistency is supposed to be like a spoonbread, it is a casserole, not like cornbread you would cut into pieces -this is like Chi Chi's corn casserole they served on the side.  PS- I make a double batch &amp; bake in a 9x13x2 casserole dish.  Lastly, if you add about 3/4 cup of sugar to this, you could serve it as a dessert :-)",https://www.food.com/recipe/jiffy-corn-casserole-5-ingredients-easy-delicious-313521,5m,55m,1h,8-10 serving(s),"1 (8   ounce) box   Jiffy cornbread mix | 1 (15   ounce) can   whole kernel corn, drained | 1 (15   ounce) can   creamed corn (not drained) | 1   cup    sour cream | 1/2  cup   melted butter",Mix all ingredients and pour into (greased or sprayed with cooking spray) 8x8&quot; casserole dish. | Cook uncovered for 55-60 minutes at 350 degrees.,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/31/35/21/c297UDBRLSEWd8zMT51w-Corn-Casserole-2.jpg",Corn,All,"Vegetable,Mexican,Low Protein,Kid Friendly,Thanksgiving,< 60 Mins,Oven,Easy,Inexpensive",362.2
Buffalo Chicken Wrap in a Snap,"This is an easy summer or anytime wrap sandwich to put together.  An easy lunch for a warm summer day would be an apple, this sandwich and an iced tea/water.",https://www.food.com/recipe/buffalo-chicken-wrap-in-a-snap-308163,5m,,5m,"1 wrap sandwich, 1 serving(s)",1   tablespoon    mayonnaise | 1   tablespoon    Tabasco sauce (or an variety) | 1       tortilla (10 inch) | 1       lettuce leaf | 6   slices   shaved chicken,"Mix mayo and hot sauce. | Fill tortilla with sauce, lettuce and chicken. | Roll to eat.","https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/30/81/63/pic9tmppB.jpg",Lunch/Snacks,All,"Chicken,Poultry,Meat,Spicy,Camping,< 15 Mins,No Cook,Beginner Cook,Easy",281.0
Applesauce Sandwiches,I have used homemade applesauce or store-bought. My kids love these for breakfast. From TOH-Quick Cooking.,https://www.food.com/recipe/applesauce-sandwiches-61154,10m,16m,26m,4 serving(s),"1   cup    applesauce | 8   slices    bread | 1/4  cup    butter or 1/4  cup    margarine, softened | 1   tablespoon    sugar | 1/4  teaspoon    ground cinnamon",Evenly spread the applesauce on four slices of bread. | Top with remaining bread to make 4 sandwiches. | Spread butter on the outsides of the sandwiches. | Place sandwiches (I usually do 2 at a time because of my skillet size) in a skillet over medium-high heat; cook for 3-4 minutes on each side or until golden brown. | Mix together the sugar and cinnamon; sprinkle over hot sandwiches. | Serve immediately. | Note: I quarter each sandwich for my kids; they love these for breakfast.,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/61/15/4/hwSJQ5bgReSdC6Iapefi_ApplesauceSandwich_2.jpg",Breakfast,All,"Lunch/Snacks,Apple,Fruit,Kid Friendly,< 30 Mins,Stove Top,Easy",295.8
